track_id_src,text_length,all_seg_cnt,total_duration,speech_duration,speech_ratio,nsp06_seg_cnt,nsp06_word_cnt,nsp06_unique_word_cnt
512378559,165,27,59.36,21.800000000000004,0.36725067385444754,12,25,6
472137914,106,11,54.0,54.0,1.0,11,24,9
30365219,293,24,60.0,17.36,0.28933333333333333,9,9,1
433476736,0,0,0,0,0,0,0,0
532350806,35,7,58.0,0,0.0,0,0,0
514074985,72,9,60.0,35.0,0.5833333333333334,5,10,2
478082428,75,15,60.0,2.0,0.03333333333333333,1,1,1
422762600,888,2,84.55,0,0.0,0,0,0
427133857,445,2,60.0,0,0.0,0,0,0
424648346,236,59,88.0,2.0,0.022727272727272728,2,2,1
3328882,279,5,60.0,55.0,0.9166666666666666,5,56,29
549659254,11,1,25.28,0,0.0,0,0,0
504645661,0,0,0,0,0,0,0,0
475910547,888,2,60.0,0,0.0,0,0,0
501830457,445,2,60.0,0,0.0,0,0,0
447442939,446,1,60.0,0,0.0,0,0,0
80164935,888,2,60.0,0,0.0,0,0,0
531186904,114,8,60.0,42.0,0.7,8,15,15
30325313,240,7,60.0,30.0,0.5,3,19,19
472778938,525,15,60.0,0,0.0,0,0,0
457332673,235,17,83.48,81.47999999999999,0.9760421657882126,17,49,48
1751559,374,26,60.0,25.92,0.43200000000000005,11,22,2
30506999,224,2,60.0,30.0,0.5,1,0,0
457753871,1240,41,77.12,0,0.0,0,0,0
448522114,413,30,60.0,28.0,0.4666666666666667,15,31,7
488490228,1428,42,84.0,0,0.0,0,0,0
552356084,298,1,60.0,0,0.0,0,0,0
435459187,534,2,60.0,0,0.0,0,0,0
549780882,0,0,0,0,0,0,0,0
545877026,256,2,60.0,30.0,0.5,1,1,1
4996520,888,2,60.0,0,0.0,0,0,0
464586332,1368,25,80.24000000000001,0,0.0,0,0,0
30085316,444,2,60.0,0,0.0,0,0,0
465161079,443,2,60.0,0,0.0,0,0,0
4793027,888,2,60.0,0,0.0,0,0,0
427280831,0,0,0,0,0,0,0,0
433741116,556,2,60.0,0,0.0,0,0,0
30514123,445,2,60.0,0,0.0,0,0,0
80363159,231,6,62.0,38.0,0.6129032258064516,4,31,25
446713615,203,7,41.78,37.08,0.8875059837242699,7,38,30
549780886,0,0,0,0,0,0,0,0
26477261,888,2,60.0,0,0.0,0,0,0
516710121,888,2,60.0,0,0.0,0,0,0
464897131,446,1,60.0,0,0.0,0,0,0
511300511,450,2,49.96,19.96,0.39951961569255406,1,2,2
31521345,510,15,60.0,0,0.0,0,0,0
550617486,888,2,60.0,0,0.0,0,0,0
31401492,534,2,60.0,0,0.0,0,0,0
516710131,282,6,60.0,13.8,0.23,1,1,1
437929333,0,0,0,0,0,0,0,0
11894250,888,2,60.0,0,0.0,0,0,0
30183140,1800,47,80.24000000000001,0,0.0,0,0,0
1599335,888,2,60.0,0,0.0,0,0,0
30143253,0,0,0,0,0,0,0,0
511890048,255,2,60.0,0,0.0,0,0,0
549780856,0,0,0,0,0,0,0,0
493938354,1428,42,84.0,0,0.0,0,0,0
516710141,6,1,13.02,13.02,1.0,1,1,1
30711975,445,2,60.0,0,0.0,0,0,0
418981,0,0,0,0,0,0,0,0
420505743,0,0,0,0,0,0,0,0
423705186,267,58,76.12,16.14,0.2120336311087756,2,5,5
4114827,0,0,0,0,0,0,0,0
550885586,255,2,60.0,0,0.0,0,0,0
3344457,888,2,60.0,0,0.0,0,0,0
1174990,255,2,60.0,0,0.0,0,0,0
512378558,506,2,30.18,0.17999999999999972,0.0059642147117296125,1,48,14
30775775,147,26,58.96,21.0,0.35617367706919945,11,22,4
509754186,1072,31,60.0,29.92,0.4986666666666667,15,30,2
460819914,105,21,84.0,56.0,0.6666666666666666,14,14,1
30516399,71,4,60.0,6.0,0.1,1,7,7
433371576,0,0,0,0,0,0,0,0
423987183,888,2,60.0,0,0.0,0,0,0
30515342,888,2,60.0,0,0.0,0,0,0
31066890,376,6,59.5,16.020000000000003,0.26924369747899163,5,29,26
3347446,445,2,60.0,0,0.0,0,0,0
1996412,493,17,61.0,0,0.0,0,0,0
465394542,0,0,0,0,0,0,0,0
455049350,888,2,60.0,0,0.0,0,0,0
516710129,0,0,0,0,0,0,0,0
4646189,446,1,60.0,0,0.0,0,0,0
1391207,145,4,59.0,39.5,0.6694915254237288,4,31,28
492922903,0,0,0,0,0,0,0,0
4896824,355,2,60.0,0,0.0,0,0,0
447940149,888,2,60.0,0,0.0,0,0,0
31220987,255,2,60.0,0,0.0,0,0,0
448547548,255,2,60.0,0,0.0,0,0,0
4842591,4,2,37.0,7.0,0.1891891891891892,1,1,1
433931960,445,2,60.0,0,0.0,0,0,0
532550671,322,11,60.0,60.0,1.0,11,58,37
3883498,255,2,60.0,0,0.0,0,0,0
516710127,240,5,60.0,0,0.0,0,0,0
11676600,888,2,60.0,0,0.0,0,0,0
457415707,445,2,60.0,0,0.0,0,0,0
424664550,534,2,60.0,0,0.0,0,0,0
1668098,888,2,60.0,0,0.0,0,0,0
510249308,888,2,60.0,0,0.0,0,0,0
30763610,355,2,60.0,0,0.0,0,0,0
30937812,677,2,60.0,30.0,0.5,1,112,7
427104748,192,4,58.0,0,0.0,0,0,0
4808508,886,2,60.0,0,0.0,0,0,0
2429443,189,9,57.260000000000005,11.860000000000014,0.20712539294446408,9,35,31
174598,124,6,60.0,37.0,0.6166666666666667,4,23,23
421718922,266,11,57.0,35.0,0.6140350877192983,8,35,24
545877041,978,2,69.0,0,0.0,0,0,0
427014673,888,2,60.0,0,0.0,0,0,0
449732990,48,8,57.0,57.0,1.0,8,16,3
3990513,355,2,60.0,0,0.0,0,0,0
524607731,136,27,58.0,26.0,0.4482758620689655,12,12,4
505319143,33,11,52.0,0,0.0,0,0,0
1014552,105,21,84.0,56.0,0.6666666666666666,14,14,1
20636,330,15,60.0,0,0.0,0,0,0
2102089,570,30,60.0,0,0.0,0,0,0
30051073,487,11,61.0,17.0,0.2786885245901639,4,43,18
492922891,632,3,74.4,25.200000000000003,0.33870967741935487,1,8,8
468863862,36,5,38.0,8.0,0.21052631578947367,5,5,2
30773139,355,2,60.0,0,0.0,0,0,0
4804969,888,2,60.0,0,0.0,0,0,0
452776986,223,2,60.0,0,0.0,0,0,0
493369907,255,2,60.0,0,0.0,0,0,0
436398063,152,26,57.46,27.46,0.4778976679429168,12,23,4
474306666,534,2,60.0,0,0.0,0,0,0
462207734,663,18,73.44,0,0.0,0,0,0
30798550,178,1,60.0,0,0.0,0,0,0
527820979,888,2,60.0,0,0.0,0,0,0
431387464,888,2,65.14,0,0.0,0,0,0
25112287,0,0,0,0,0,0,0,0
435845608,100,34,57.8,29.799999999999997,0.5155709342560554,20,20,4
3764668,162,27,58.0,26.0,0.4482758620689655,12,24,3
446360800,279,1,60.0,0,0.0,0,0,0
443718170,888,2,60.0,0,0.0,0,0,0
449833137,1418,2,60.0,30.0,0.5,1,146,41
30933167,546,2,57.86,27.86,0.48150708606982373,1,53,10
31356110,302,27,60.0,29.0,0.48333333333333334,12,12,1
30796451,184,33,80.0,10.0,0.125,5,10,2
452844,156,26,56.0,26.0,0.4642857142857143,11,22,3
465559522,112,13,59.94,49.44,0.8248248248248248,13,17,15
453340031,60,20,60.0,33.0,0.55,11,11,1
445503143,888,2,60.0,0,0.0,0,0,0
2353179,105,21,84.0,56.0,0.6666666666666666,14,14,1
30396882,355,2,60.0,0,0.0,0,0,0
525424620,445,2,60.0,0,0.0,0,0,0
420661101,57,19,87.0,58.0,0.6666666666666666,13,13,1
521933497,174,21,59.74,47.739999999999995,0.7991295614328757,21,23,23
4145896,87,3,60.0,26.0,0.43333333333333335,1,8,8
31038016,740,2,60.0,0,0.0,0,0,0
427035731,740,2,60.0,0,0.0,0,0,0
446535815,445,2,60.0,0,0.0,0,0,0
453527772,355,2,60.0,0,0.0,0,0,0
424251909,445,2,60.0,0,0.0,0,0,0
341933,1020,30,60.0,0,0.0,0,0,0
511890052,433,2,35.32,5.32,0.1506228765571914,1,25,7
30754730,46,2,35.0,5.0,0.14285714285714285,1,3,3
454462887,500,13,59.0,29.0,0.4915254237288136,9,69,33
435845609,293,24,60.0,27.04,0.45066666666666666,9,9,1
347614,0,0,0,0,0,0,0,0
2680624,0,0,0,0,0,0,0,0
495352200,59,11,67.08,62.58,0.9329159212880143,11,13,12
423793438,903,11,59.12,52.68000000000001,0.8910690121786199,9,146,102
516710128,107,14,61.18,48.96,0.8002615233736515,10,19,12
421455076,446,1,60.0,0,0.0,0,0,0
11997244,446,1,60.0,0,0.0,0,0,0
31309111,888,2,60.0,0,0.0,0,0,0
420864773,888,2,60.0,0,0.0,0,0,0
421027656,525,15,60.0,0,0.0,0,0,0
516710137,741,2,60.0,0,0.0,0,0,0
420717432,0,0,0,0,0,0,0,0
488812908,0,0,0,0,0,0,0,0
423151295,355,2,60.0,0,0.0,0,0,0
4978859,0,0,0,0,0,0,0,0
3838303,54,18,85.0,0,0.0,0,0,0
4111892,888,2,60.0,0,0.0,0,0,0
3502706,0,0,0,0,0,0,0,0
3305987,446,2,60.0,30.0,0.5,1,1,1
512472724,401,2,53.28,23.28,0.43693693693693697,1,7,7
532350788,224,1,53.4,0,0.0,0,0,0
30871483,669,2,60.0,30.0,0.5,1,109,5
31089271,443,2,60.0,0,0.0,0,0,0
2778478,445,2,60.0,0,0.0,0,0,0
30777573,0,0,0,0,0,0,0,0
455045473,22,2,50.980000000000004,20.980000000000004,0.41153393487642215,2,6,6
13947435,888,2,60.0,0,0.0,0,0,0
435784668,178,1,60.0,0,0.0,0,0,0
512378560,242,3,75.4,18.0,0.23872679045092837,1,3,3
61678728,465,15,60.0,0,0.0,0,0,0
439237882,443,2,60.0,0,0.0,0,0,0
424230406,446,1,60.0,0,0.0,0,0,0
427010534,355,2,60.0,0,0.0,0,0,0
455049349,355,2,60.0,0,0.0,0,0,0
25826722,0,0,0,0,0,0,0,0
3612158,0,0,0,0,0,0,0,0
434297862,355,2,53.41,0,0.0,0,0,0
4447375,888,2,60.0,0,0.0,0,0,0
516710126,381,24,60.0,16.23999999999999,0.2706666666666665,9,19,7
31001241,446,1,60.0,0,0.0,0,0,0
4660083,154,26,56.0,26.0,0.4642857142857143,11,22,5
1836730,0,0,0,0,0,0,0,0
80352359,75,15,60.0,2.0,0.03333333333333333,1,1,1
552942914,936,30,60.0,0,0.0,0,0,0
427040532,224,1,60.0,0,0.0,0,0,0
435435101,888,2,60.0,0,0.0,0,0,0
1996406,447,1,43.24,0,0.0,0,0,0
62223375,667,2,60.0,30.0,0.5,1,112,4
4674484,77,3,44.92,33.84,0.7533392698130009,3,17,17
450632992,144,24,59.0,24.0,0.4067796610169492,9,18,2
421559539,446,2,60.0,0,0.0,0,0,0
455510875,0,0,0,0,0,0,0,0
80321122,741,2,60.0,0,0.0,0,0,0
2877998,0,0,0,0,0,0,0,0
30882495,178,1,60.0,0,0.0,0,0,0
465179111,0,0,0,0,0,0,0,0
516710124,740,2,60.0,0,0.0,0,0,0
436960189,0,0,0,0,0,0,0,0
518939005,226,25,60.0,59.0,0.9833333333333333,25,36,31
30879187,892,27,73.6,21.240000000000002,0.28858695652173916,1,1,1
31244175,230,2,48.129999999999995,22.06,0.4583419904425514,1,2,2
464586314,0,0,0,0,0,0,0,0
23074632,0,0,0,0,0,0,0,0
31066897,888,2,60.0,0,0.0,0,0,0
15749107,557,1,60.0,0,0.0,0,0,0
2986738,888,2,60.0,0,0.0,0,0,0
31146378,224,1,60.0,0,0.0,0,0,0
435589714,740,2,60.0,0,0.0,0,0,0
171340,0,0,0,0,0,0,0,0
427117850,269,2,60.0,30.0,0.5,1,7,7
540341214,445,2,60.0,0,0.0,0,0,0
3502615,224,1,60.0,0,0.0,0,0,0
453961763,243,7,60.0,33.0,0.55,4,31,27
3522422,888,2,60.0,0,0.0,0,0,0
532550669,1111,2,60.0,0,0.0,0,0,0
4447370,445,2,60.0,0,0.0,0,0,0
535127320,534,2,60.0,0,0.0,0,0,0
420589110,1265,2,60.0,30.0,0.5,1,112,13
438806305,667,2,60.0,30.0,0.5,1,111,2
482341075,355,2,60.0,0,0.0,0,0,0
421034571,137,27,56.0,26.0,0.4642857142857143,13,13,3
536922375,354,27,60.0,28.0,0.4666666666666667,12,12,4
23277864,0,0,0,0,0,0,0,0
454582684,224,2,60.0,30.0,0.5,1,1,1
492982578,1806,42,84.0,0,0.0,0,0,0
4385196,445,2,60.0,0,0.0,0,0,0
516710140,1027,29,60.0,27.92,0.4653333333333334,13,14,5
1754383,140,4,58.36,23.919999999999995,0.40986977381768325,4,31,28
2880974,888,2,60.0,0,0.0,0,0,0
80209580,0,0,0,0,0,0,0,0
5086554,888,2,60.0,0,0.0,0,0,0
433379106,0,0,0,0,0,0,0,0
5087429,888,2,60.0,0,0.0,0,0,0
464258093,320,2,60.0,28.16,0.4693333333333333,1,1,1
1653160,355,2,60.0,0,0.0,0,0,0
496677175,0,0,0,0,0,0,0,0
435392103,145,9,63.0,25.0,0.3968253968253968,9,38,27
3203276,0,0,0,0,0,0,0,0
4864428,740,2,60.0,0,0.0,0,0,0
501898889,193,14,59.6,43.4,0.7281879194630873,14,35,23
520282445,54,18,85.0,0,0.0,0,0,0
373558,1677,44,86.44,0,0.0,0,0,0
421114890,43,3,45.980000000000004,22.320000000000004,0.48542844715093525,3,10,6
506865661,223,2,60.0,0,0.0,0,0,0
443833795,255,2,60.0,0,0.0,0,0,0
552031405,105,21,84.0,56.0,0.6666666666666666,14,14,1
512809018,16,1,25.5,25.5,1.0,1,3,3
452560453,105,21,84.0,56.0,0.6666666666666666,14,14,1
443817876,178,1,60.0,0,0.0,0,0,0
2077338,367,25,60.0,17.6,0.29333333333333333,9,18,4
507913201,84,12,60.0,35.0,0.5833333333333334,9,10,10
520934697,88,10,37.94,20.04,0.5282024248813917,10,17,17
2228252,888,2,60.0,0,0.0,0,0,0
80101117,0,0,0,0,0,0,0,0
31042041,355,2,60.0,0,0.0,0,0,0
1117468,386,28,60.0,26.400000000000006,0.4400000000000001,13,26,2
30938278,343,6,54.0,54.0,1.0,6,77,46
384135,888,2,60.0,0,0.0,0,0,0
421568111,888,2,60.0,0,0.0,0,0,0
2441898,671,2,60.0,30.0,0.5,1,111,4
533630101,252,2,60.0,30.0,0.5,1,1,1
521166164,0,0,0,0,0,0,0,0
2263226,336,7,69.16,69.16,1.0,7,65,49
2077333,177,22,56.0,16.0,0.2857142857142857,8,16,3
444296979,144,24,58.0,20.0,0.3448275862068966,9,18,2
438583585,551,29,58.0,0,0.0,0,0,0
1701455,0,0,0,0,0,0,0,0
453468219,160,7,53.14,32.58,0.6130974783590515,7,33,32
4793005,178,1,60.0,0,0.0,0,0,0
4342835,445,2,60.0,0,0.0,0,0,0
500619428,0,0,0,0,0,0,0,0
30991178,1050,30,60.0,0,0.0,0,0,0
49474,924,29,87.24000000000001,0,0.0,0,0,0
